COMPANY NAME,STOCK SYMBOL,SECTOR,WEIGHTAGE (%)
HDFC Bank Ltd.,HDFCBANK,Financial Services,14.10
Reliance Industries Ltd.,RELIANCE,Oil Gas & Consumable Fuels,9.87
ICICI Bank Ltd.,ICICIBANK,Financial Services,7.99
Infosys Ltd.,INFY,Information Technology,5.54
ITC Ltd.,ITC,Fast Moving Consumer Goods,4.70
Tata Consultancy Services Ltd.,TCS,Information Technology,4.01
Larsen & Toubro Ltd.,LT,Construction,3.71
Kotak Mahindra Bank Ltd.,KOTAKBANK,Financial Services,3.12
Axis Bank Ltd.,AXISBANK,Financial Services,2.99
State Bank of India,SBIN,Financial Services,2.72
Hindustan Unilever Ltd.,HINDUNILVR,Fast Moving Consumer Goods,2.62
Bharti Airtel Ltd.,BHARTIARTL,Telecommunication,2.56
Bajaj Finance Ltd.,BAJFINANCE,Financial Services,2.33
Asian Paints Ltd.,ASIANPAINT,Consumer Durables,1.74
Mahindra & Mahindra Ltd.,M&M,Automobile and Auto Components,1.51
Maruti Suzuki India Ltd.,MARUTI,Automobile and Auto Components,1.49
Titan Company Ltd.,TITAN,Consumer Durables,1.43
Sun Pharmaceutical Industries Ltd.,SUNPHARMA,Healthcare,1.41
HCL Technologies Ltd.,HCLTECH,Information Technology,1.35
Tata Motors Ltd.,TATAMOTORS,Automobile and Auto Components,1.30
NTPC Ltd.,NTPC,Power,1.19
Tata Steel Ltd.,TATASTEEL,Metals & Mining,1.14
UltraTech Cement Ltd.,ULTRACEMCO,Construction Materials,1.10
IndusInd Bank Ltd.,INDUSINDBK,Financial Services,1.06
Power Grid Corporation of India Ltd.,POWERGRID,Power,1.04
Bajaj Finserv Ltd.,BAJAJFINSV,Financial Services,0.99
Nestle India Ltd.,NESTLEIND,Fast Moving Consumer Goods,0.92
Adani Enterprises Ltd.,ADANIENT,Metals & Mining,0.88
JSW Steel Ltd.,JSWSTEEL,Metals & Mining,0.86
Tech Mahindra Ltd.,TECHM,Information Technology,0.80
HDFC Life Insurance Company Ltd.,HDFCLIFE,Financial Services,0.80
Oil & Natural Gas Corporation Ltd.,ONGC,Oil Gas & Consumable Fuels,0.79
Grasim Industries Ltd.,GRASIM,Construction Materials,0.78
Dr. Reddy’s Laboratories Ltd.,DRREDDY,Healthcare,0.78
Hindalco Industries Ltd.,HINDALCO,Metals & Mining,0.77
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,Services,0.75
Cipla Ltd.,CIPLA,Healthcare,0.71
Wipro Ltd.,WIPRO,Information Technology,0.69
SBI Life Insurance Company Ltd.,SBILIFE,Financial Services,0.66
Britannia Industries Ltd.,BRITANNIA,Fast Moving Consumer Goods,0.65
Bajaj Auto Ltd.,BAJAJ-AUTO,Automobile and Auto Components,0.64
Coal India Ltd.,COALINDIA,Oil Gas & Consumable Fuels,0.60
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP,Healthcare,0.60
Tata Consumer Products Ltd.,TATACONSUM,Fast Moving Consumer Goods,0.58
Divi’s Laboratories Ltd.,DIVISLAB,Healthcare,0.54
Eicher Motors Ltd.,EICHERMOT,Automobile and Auto Components,0.53
LTIMindtree,LTIM,Information Technology,0.51
Hero MotoCorp Ltd.,HEROMOTOCO,Automobile and Auto Components,0.48
Bharat Petroleum Corporation Ltd.,BPCL,Oil Gas & Consumable Fuels,0.41
UPL Ltd.,UPL,Chemicals,0.36
